"loan_date","est_yield","est_loss","est_return","rating","year"
2013-04-22,0.1783,0.0799,0.0984,"C","2013"
2013-12-11,0.16717,0.0849,0.08227,"C","2013"
2013-10-17,0.13144,0.0499,0.08154,"B","2013"
2013-07-23,0.1015,0.0324,0.0691,"A","2013"
2013-11-04,0.18316,0.0925,0.09066,"D","2013"
2013-08-16,0.126,0.0424,0.0836,"B","2013"
2013-01-15,0.1346,0.0349,0.0997,"A","2013"
2013-11-26,0.14661,0.0624,0.08421,"C","2013"
2013-12-13,0.15512,0.0749,0.08022,"C","2013"
2013-06-04,0.2318,0.1225,0.1093,"E","2013"
2013-09-19,0.27598,0.1625,0.11348,"HR","2013"
2013-12-18,0.109,0.0399,0.0691,"A","2013"
2013-05-20,0.2064,0.1025,0.1039,"D","2013"
2013-01-23,0.2552,0.1225,0.1327,"E","2013"
2013-07-18,0.2064,0.1025,0.1039,"D","2013"
2013-01-17,0.1937,0.0925,0.1012,"D","2013"
2013-11-27,0.18224,0.0975,0.08474,"D","2013"
2013-11-06,0.15519,0.0699,0.08529,"C","2013"
2013-12-18,0.08619,0.0274,0.05879,"A","2013"
2013-11-12,0.13705,0.0549,0.08215,"B","2013"
2013-12-19,0.1264,0.0524,0.074,"B","2013"
2013-03-19,0.1765,0.0674,0.1091,"C","2013"
2013-06-25,0.1619,0.0599,0.102,"B","2013"
2013-06-28,0.131,0.0449,0.0861,"B","2013"
2013-10-04,0.18316,0.0925,0.09066,"D","2013"
2013-10-17,0.16468,0.0774,0.08728,"C","2013"
2013-07-30,0.2382,0.1275,0.1107,"E","2013"
2013-06-06,0.1864,0.0749,0.1115,"C","2013"
2013-07-22,0.1668,0.0624,0.1044,"C","2013"
2013-12-05,0.13449,0.0524,0.08209,"B","2013"
2013-05-22,0.1536,0.0624,0.0912,"C","2013"
2013-12-12,0.08619,0.0274,0.05879,"A","2013"
2013-12-30,0.10446,0.0374,0.06706,"A","2013"
2013-10-16,0.25691,0.1475,0.10941,"E","2013"
2013-06-28,0.0873,0.0249,0.0624,"A","2013"
2013-07-11,0.2566,0.1325,0.1241,"E","2013"
2013-12-24,0.14559,0.0674,0.07819,"C","2013"
2013-10-01,0.14661,0.0624,0.08421,"C","2013"
2013-12-12,0.10446,0.0374,0.06706,"A","2013"
2013-04-26,0.1337,0.0499,0.0838,"B","2013"
2013-11-18,0.10568,0.0349,0.07078,"A","2013"
2013-09-24,0.13705,0.0549,0.08215,"B","2013"
2013-06-25,0.1679,0.0724,0.0955,"C","2013"
2013-12-09,0.12898,0.0549,0.07408,"B","2013"
2013-09-26,0.16468,0.0774,0.08728,"C","2013"
2013-05-06,0.219,0.1125,0.1065,"D","2013"
2013-02-26,0.1202,0.0424,0.0778,"B","2013"
2013-08-30,0.1575,0.0574,0.1001,"B","2013"
2013-12-24,0.06919,0.0199,0.04929,"AA","2013"
2013-11-07,0.20859,0.1125,0.09609,"D","2013"
2013-11-15,0.07506,0.0199,0.05516,"AA","2013"
2013-12-19,0.09628,0.0324,0.06388,"A","2013"
2013-09-05,0.2447,0.1325,0.1122,"E","2013"
2013-12-11,0.10446,0.0374,0.06706,"A","2013"
2013-11-20,0.1797,0.0899,0.0898,"C","2013"
2013-01-23,0.1739,0.0549,0.119,"B","2013"
2013-05-13,0.2473,0.1225,0.1248,"E","2013"
2013-02-12,0.1148,0.0399,0.0749,"A","2013"
2013-10-30,0.13449,0.0524,0.08209,"B","2013"
2013-03-18,0.0849,0.0249,0.06,"A","2013"
2013-05-23,0.1404,0.0499,0.0905,"B","2013"
2013-12-12,0.1762,0.0925,0.0837,"D","2013"
2013-05-24,0.2064,0.1025,0.1039,"D","2013"
2013-11-12,0.09202,0.0274,0.06462,"A","2013"
2013-08-12,0.1903,0.0899,0.1004,"C","2013"
2013-11-13,0.09653,0.0299,0.06663,"A","2013"
2013-06-03,0.2447,0.1325,0.1122,"E","2013"
2013-06-26,0.0827,0.0224,0.0603,"A","2013"
2013-04-23,0.1864,0.0749,0.1115,"C","2013"
2013-12-12,0.10446,0.0374,0.06706,"A","2013"
2013-10-03,0.1797,0.0899,0.0898,"C","2013"
2013-12-11,0.10446,0.0374,0.06706,"A","2013"
2013-09-16,0.0731,0.0199,0.0532,"AA","2013"
2013-07-09,0.2725,0.1475,0.125,"E","2013"
2013-07-09,0.1932,0.0799,0.1133,"C","2013"
2013-12-19,0.12898,0.0549,0.07408,"B","2013"
2013-08-30,0.1702,0.0649,0.1053,"C","2013"
